term,gene
AbSC_Pos_Bala_2023,Rps28
AbSC_Pos_Bala_2023,Usp22
AbSC_Pos_Bala_2023,Trib1
AbSC_Pos_Bala_2023,Tpr
AbSC_Pos_Bala_2023,Cnn3
AbSC_Pos_Bala_2023,Sars
AbSC_Pos_Bala_2023,Rps6
AbSC_Pos_Bala_2023,Rabggtb
AbSC_Pos_Bala_2023,Gtpbp4
AbSC_Pos_Bala_2023,Fkbp3
AbSC_Pos_Bala_2023,Lgals3bp
AbSC_Pos_Bala_2023,Snrpd2
AbSC_Pos_Bala_2023,Scaf11
AbSC_Pos_Bala_2023,Sertad1
AbSC_Pos_Bala_2023,Psmc6
AbSC_Pos_Bala_2023,Park7
AbSC_Pos_Bala_2023,Dctn3
AbSC_Pos_Bala_2023,Pgls
AbSC_Pos_Bala_2023,Atox1
AbSC_Pos_Bala_2023,Rbx1
AbSC_Pos_Bala_2023,Sf3b2
AbSC_Pos_Bala_2023,Pomp
AbSC_Pos_Bala_2023,Capns1
AbSC_Pos_Bala_2023,Nsmce1
AbSC_Pos_Bala_2023,Ran
AbSC_Pos_Bala_2023,Dcun1d5
AbSC_Pos_Bala_2023,Snrpg
AbSC_Pos_Bala_2023,Lyar
AbSC_Pos_Bala_2023,Nubp1
AbSC_Pos_Bala_2023,Bola1
AbSC_Pos_Bala_2023,Otub1
AbSC_Pos_Bala_2023,1810058I24Rik
AbSC_Pos_Bala_2023,Prr15
AbSC_Pos_Bala_2023,Fam60a
AbSC_Pos_Bala_2023,Trp53
AbSC_Pos_Bala_2023,Psmb6
AbSC_Pos_Bala_2023,Ralbp1
AbSC_Pos_Bala_2023,Csnk1a1
AbSC_Pos_Bala_2023,Rpl37a
AbSC_Pos_Bala_2023,Rpl17
AbSC_Pos_Bala_2023,Sdhaf1
AbSC_Pos_Bala_2023,Crb3
AbSC_Pos_Bala_2023,Ewsr1
AbSC_Pos_Bala_2023,Nono
AbSC_Pos_Bala_2023,Psmc2
AbSC_Pos_Bala_2023,Pkm
AbSC_Pos_Bala_2023,Rpl5
AbSC_Pos_Bala_2023,Psmg4
AbSC_Pos_Bala_2023,Polr2g
AbSC_Pos_Bala_2023,Rtf1
AbSC_Pos_Bala_2023,Eif1ax
AbSC_Pos_Bala_2023,Utp3
AbSC_Pos_Bala_2023,Rbm39
AbSC_Pos_Bala_2023,Sltm
AbSC_Pos_Bala_2023,Eif4g2
AbSC_Pos_Bala_2023,Rpl32
AbSC_Pos_Bala_2023,Srm
AbSC_Pos_Bala_2023,Nras
AbSC_Pos_Bala_2023,Esf1
AbSC_Pos_Bala_2023,Cdc37
AbSC_Pos_Bala_2023,Psmb3
AbSC_Pos_Bala_2023,Puf60
AbSC_Pos_Bala_2023,Ppan
AbSC_Pos_Bala_2023,Zfand5
AbSC_Pos_Bala_2023,Mrpl17
AbSC_Pos_Bala_2023,Fam46a
AbSC_Pos_Bala_2023,Pak2
AbSC_Pos_Bala_2023,Eif3a
AbSC_Pos_Bala_2023,Gnai2
AbSC_Pos_Bala_2023,Tia1
AbSC_Pos_Bala_2023,Fkbp1a
AbSC_Pos_Bala_2023,Ywhae
AbSC_Pos_Bala_2023,Rpl37
AbSC_Pos_Bala_2023,Txndc9
AbSC_Pos_Bala_2023,Ufc1
AbSC_Pos_Bala_2023,Mphosph10
AbSC_Pos_Bala_2023,Rpl35
AbSC_Pos_Bala_2023,Pafah1b3
AbSC_Pos_Bala_2023,Hmga1
AbSC_Pos_Bala_2023,Lmna
AbSC_Pos_Bala_2023,Pak1
AbSC_Pos_Bala_2023,Pa2g4
AbSC_Pos_Bala_2023,Trappc6a
AbSC_Pos_Bala_2023,H3f3a
AbSC_Pos_Bala_2023,Kif5b
AbSC_Pos_Bala_2023,Rpl13
AbSC_Pos_Bala_2023,Hmgb1
AbSC_Pos_Bala_2023,Cct3
AbSC_Pos_Bala_2023,Nol12
AbSC_Pos_Bala_2023,Ifi35
AbSC_Pos_Bala_2023,Eif3g
AbSC_Pos_Bala_2023,Ruvbl1
AbSC_Pos_Bala_2023,U2af1
AbSC_Pos_Bala_2023,Slc25a17
AbSC_Pos_Bala_2023,Sqstm1
AbSC_Pos_Bala_2023,Rbbp4
AbSC_Pos_Bala_2023,Mvb12a
AbSC_Pos_Bala_2023,Eif2s1
AbSC_Pos_Bala_2023,Ube2e1
AbSC_Pos_Bala_2023,Psma1
AbSC_Pos_Bala_2023,Sigmar1
AbSC_Pos_Bala_2023,Prrc2c
AbSC_Pos_Bala_2023,Ifrd1
AbSC_Pos_Bala_2023,Plp2
AbSC_Pos_Bala_2023,Eif3k
AbSC_Pos_Bala_2023,Ptrh2
AbSC_Pos_Bala_2023,Tmed5
AbSC_Pos_Bala_2023,Pfdn4
AbSC_Pos_Bala_2023,Exosc5
AbSC_Pos_Bala_2023,Ppib
AbSC_Pos_Bala_2023,Cbx3
AbSC_Pos_Bala_2023,Cldn2
AbSC_Pos_Bala_2023,Ttc3
AbSC_Pos_Bala_2023,Ubxn1
AbSC_Pos_Bala_2023,Spag7
AbSC_Pos_Bala_2023,Wars
AbSC_Pos_Bala_2023,Rpl23a
AbSC_Pos_Bala_2023,Dnajc8
AbSC_Pos_Bala_2023,Brix1
AbSC_Pos_Bala_2023,Strap
AbSC_Pos_Bala_2023,Ddx18
AbSC_Pos_Bala_2023,Trim28
AbSC_Pos_Bala_2023,Acin1
AbSC_Pos_Bala_2023,Dnajb6
AbSC_Pos_Bala_2023,Bcl3
AbSC_Pos_Bala_2023,Psmb7
AbSC_Pos_Bala_2023,Junb
AbSC_Pos_Bala_2023,Laptm4b
AbSC_Pos_Bala_2023,Psmc5
AbSC_Pos_Bala_2023,Cct8
AbSC_Pos_Bala_2023,Picalm
AbSC_Pos_Bala_2023,Cd151
AbSC_Pos_Bala_2023,Ddx39b
AbSC_Pos_Bala_2023,Nip7
AbSC_Pos_Bala_2023,Pttg1
AbSC_Pos_Bala_2023,Rsrc2
AbSC_Pos_Bala_2023,Hmgb3
AbSC_Pos_Bala_2023,Comt
AbSC_Pos_Bala_2023,Aimp1
AbSC_Pos_Bala_2023,Nasp
AbSC_Pos_Bala_2023,Dhrs7
AbSC_Pos_Bala_2023,Med28
AbSC_Pos_Bala_2023,Snrpd3
AbSC_Pos_Bala_2023,Actb
AbSC_Pos_Bala_2023,Cops5
AbSC_Pos_Bala_2023,Ascc3
AbSC_Pos_Bala_2023,Leprotl1
AbSC_Pos_Bala_2023,Tuba4a
AbSC_Pos_Bala_2023,Psmb1
AbSC_Pos_Bala_2023,Smarcb1
AbSC_Pos_Bala_2023,H2-DMa
AbSC_Pos_Bala_2023,Ascl2
AbSC_Pos_Bala_2023,Sptssa
AbSC_Pos_Bala_2023,Rnps1
AbSC_Pos_Bala_2023,Cebpz
AbSC_Pos_Bala_2023,Prpf40a
AbSC_Pos_Bala_2023,Dhx9
AbSC_Pos_Bala_2023,Anxa7
AbSC_Pos_Bala_2023,Snrpa
AbSC_Pos_Bala_2023,Eif3m
AbSC_Pos_Bala_2023,Ubald2
AbSC_Pos_Bala_2023,Nr2c2ap
AbSC_Pos_Bala_2023,Rps8
AbSC_Pos_Bala_2023,Ccdc12
AbSC_Pos_Bala_2023,Psmc1
AbSC_Pos_Bala_2023,Srsf5
AbSC_Pos_Bala_2023,Rack1
AbSC_Pos_Bala_2023,Swi5
AbSC_Pos_Bala_2023,Eif5
AbSC_Pos_Bala_2023,Tsg101
AbSC_Pos_Bala_2023,Stub1
AbSC_Pos_Bala_2023,Rpl22
AbSC_Pos_Bala_2023,Sin3b
AbSC_Pos_Bala_2023,Eef1a1
AbSC_Pos_Bala_2023,Phax
AbSC_Pos_Bala_2023,Serinc2
AbSC_Pos_Bala_2023,Ubap2l
AbSC_Pos_Bala_2023,Sarnp
AbSC_Pos_Bala_2023,Vps72
AbSC_Pos_Bala_2023,Nsa2
AbSC_Pos_Bala_2023,Mrpl33
AbSC_Pos_Bala_2023,Psmd12
AbSC_Pos_Bala_2023,Tbcb
AbSC_Pos_Bala_2023,Rps11
AbSC_Pos_Bala_2023,Btf3l4
