sgRNA,Gene,Day3.bulk.no1,Day9.bulk.no1,Day9.CD11b.low.no1,Day9.CD11b.high.no1,Day3.bulk.no2,Day9.bulk.no2,Day9.CD11b.low.no2,Day9.CD11b.high.no2
sgRNA_5192,THUMPD1,376.1047505,650.4015613,532.1588093,505.8854943,287.4854943,553.0748683,561.3752352,391.0173036
sgRNA_2175,HNRNPA1L2,158.2027919,158.4209433,199.6493239,179.4461754,89.70247539,232.0676231,184.8189595,13.68560563
sgRNA_2322,DNMT3B,279.989092,429.8859769,463.2151579,513.5215018,198.220592,439.3970732,493.1800042,346.0503137
sgRNA_57,CSDE1,151.0388919,175.9348165,272.1837905,155.583652,96.7036442,299.2140928,407.1947129,115.3501046
sgRNA_1562,MED29,242.378617,338.3361855,274.3382796,569.8370568,182.0303891,256.216792,121.5654119,218.96969
sgRNA_379,SMYD3,349.2401254,593.8795162,750.4803721,618.5166044,235.8518743,569.5669837,395.3346727,256.1163338
sgRNA_878,NonTargetingControlGuideForHuman_0782,208.3500919,223.699925,302.3466379,327.3938199,162.3396018,342.8003976,396.3230094,336.2748811
sgRNA_2588,ALKBH6,217.3049669,408.391678,486.9145381,310.2128031,182.4679621,349.2794429,331.0927884,281.5324586
sgRNA_2812,SNRPD1,409.5362839,370.9756763,509.1775922,419.0259095,221.4119637,414.0698961,394.346336,218.96969
sgRNA_5079,LSM2,188.0523752,60.50247082,50.98957552,144.1296408,94.953352,108.9657621,134.4137887,115.3501046
sgRNA_2834,KDM2B,213.1260253,338.3361855,272.9019535,368.43736,141.7736684,380.4966613,628.5821296,312.8138429
sgRNA_398,EGLN3,411.3272589,552.4830888,580.9938957,763.6007462,273.9207297,544.2398065,543.5851749,488.7716295
sgRNA_3569,KHDRBS1,75.81794176,122.5971119,241.3027799,89.72308767,44.19487812,117.8008239,244.1191604,29.32629777
sgRNA_629,HNRNPF,506.8459257,585.9186648,974.5472392,795.0992769,331.6803724,614.9203009,697.7656973,418.3885148
sgRNA_2845,ZCRB1,487.1452006,636.8681139,725.3446659,750.2377331,313.7398773,764.5273473,753.1125515,394.9274766
sgRNA_1541,GAPDH,263.870317,189.4682639,149.3779114,151.7656483,202.5963225,294.5020598,371.6145923,123.1704506
sgRNA_2109,SAMD9L,204.1711503,304.1045244,303.782964,430.4799207,154.9008599,382.8526777,368.6495823,342.1401406
sgRNA_558,KHDRBS2,256.706417,458.545042,341.1274419,412.3444029,199.0957381,417.6039208,315.2794015,445.7597261
sgRNA_1070,SIRT4,303.8687587,363.0148249,424.434354,513.5215018,216.5986601,424.0829661,472.4249339,522.0081003
sgRNA_28,EIF4B,263.870317,321.6183975,376.3174306,514.4760027,143.9615337,367.5385706,323.1860949,168.1374405
sgRNA_3816,NCL,134.9201168,22.29038399,33.75366267,175.6281716,75.26256472,89.52862618,147.2621656,5.865259554
sgRNA_494,ZBTB4,331.9273671,476.8550003,548.6765591,558.3830456,206.0969069,497.7084811,513.9350745,369.5113519
sgRNA_3916,KHDRBS2,291.3319337,441.0311689,550.1128852,517.3395055,204.3466147,548.3628354,352.8361954,471.1758508
sgRNA_176,PHF20,255.5124337,225.2920953,231.9666605,290.1682835,105.0175322,212.0414831,233.2474569,62.56276857
sgRNA_2724,HTATSF1,446.5497672,580.3460688,417.9708867,439.070429,241.977897,554.8418807,402.2530295,445.7597261
sgRNA_2495,PCBP3,200.5892003,272.2611187,247.7662472,218.5807136,112.456274,356.3474924,298.4776779,140.7662293
sgRNA_1425,ANKS4B,198.7982253,179.119157,226.9395192,245.3067397,103.26724,251.5047591,296.5010045,127.0806237
