"","x"
"754","Gm29100"
"755","Twist2"
"756","Hdac4"
"757","Gm26720"
"758","Gm29099"
"759","Ndufa10"
"760","Olfr1416"
"761","Olfr1415"
"762","Olfr1414"
"763","1700054K02Rik"
"764","Olfr1413"
"765","Gm28479"
"766","Olfr1412"
"767","Olfr1411"
"768","Olfr1410"
"769","Olfr12"
"770","Myeov2"
"771","Otos"
"772","Gm29483"
"773","Gm29482"
"774","Gm29481"
"775","Gpc1"
"776","Gm29480"
"777","Ankmy1"
"778","Dusp28"
"779","5033417F24Rik"
"780","Rnpepl1"
"781","9430060I03Rik"
"782","Capn10"
"783","Gpr35"
"784","Aqp12"
"785","Kif1a"
"786","Gm28086"
"787","Agxt"
"788","2310007B03Rik"
"789","Crocc2"
"790","Sned1"
"791","Mterf4"
"792","Gm28535"
"793","Pask"
"794","Ppp1r7"
"795","Ano7"
"796","Hdlbp"
"797","Sept2"
"798","Farp2"
"799","Stk25"
"800","Gm28536"
"801","Bok"
"802","Thap4"
"803","Gm10550"
"804","Atg4b"
"805","Dtymk"
"806","Ing5"
"807","D2hgdh"
"808","Gal3st2"
"809","Gm9994"
"810","Gm6086"
"811","Neu4"
"812","Pdcd1"
"813","4930440C22Rik"
"814","Fam174a"
"815","St8sia4"
"816","4930598F16Rik"
"817","1700063A18Rik"
"818","Gm29601"
"819","4930533P14Rik"
"820","Slco4c1"
"821","Panct2"
"822","Gm28901"
"823","Slco6c1"
"824","D1Ertd622e"
"825","Ppip5k2"
"826","Gin1"
"827","Pam"
"828","1810006J02Rik"
"829","Gm29461"
"830","Slco6d1"
"831","Gm7967"
"832","Cntnap5b"
"833","Gm20268"
"834","Gm28187"
"835","Cdh20"
"836","Gm15699"
"837","Gm29012"
"838","Rnf152"
"839","Gm17634"
"840","Pign"
"841","2310035C23Rik"
"842","Tnfrsf11a"
"843","Gm7160"
"844","Zcchc2"
"845","Gm20753"
"846","Phlpp1"
"847","A530053M12Rik"
"848","Bcl2"
"849","D630008O14Rik"
"850","Kdsr"
"851","Vps4b"
"852","Serpinb5"
"853","Serpinb12"
"854","Serpinb13"
"855","Serpinb3a"
"856","Serpinb3d"
"857","Serpinb3b"
"858","Serpinb3c"
"859","Serpinb11"
"860","Gm15391"
"861","Serpinb7"
"862","Serpinb2"
"863","Serpinb10"
"864","Serpinb8"
"865","Gm15389"
"866","D830032E09Rik"
"867","Cdh7"
"868","Cdh19"
"869","Gm29088"
"870","Dsel"
"871","Gm28189"
"872","9330185C12Rik"
"873","Cntnap5a"
"874","Gm19965"
"875","Zfp813-ps"
"876","Gm28363"
"877","B020011L13Rik"
"878","Gm28360"
"879","Gm28168"
"880","Gm7145"
"881","Gm29106"
"882","Tsn"
"883","Nifk"
"884","Gm28867"
"885","Clasp1"
"886","2900060B14Rik"
"887","Tfcp2l1"
"888","Gli2"
"889","Gm26831"
"890","Gm29456"
"891","Gm29455"
"892","Inhbb"
"893","Ralb"
"894","Gm27184"
"895","Tmem185b"
"896","3830432H09Rik"
"897","Epb41l5"
"898","Ptpn4"
"899","Gm28209"
"900","Tmem177"
"901","Cfap221"
"902","Sctr"
"903","Tmem37"
"904","Dbi"
"905","3110009E18Rik"
"906","Steap3"
"907","C1ql2"
"908","1700012E03Rik"
"909","Marco"
"910","En1"
"911","2610027F03Rik"
"912","Gm29346"
"913","Gm29345"
"914","Gm29348"
"915","Gm29347"
"916","Celrr"
"917","Gm29359"
"918","Insig2"
"919","2210011K15Rik"
"920","Ccdc93"
"921","Gm15392"
"922","Htr5b"
"923","Ddx18"
